,DescriptorId,DescriptorName,DateCreated,DateRevised,DateEstablished,Descriptor_dcid
0,D000001,Calcimycin,1974-11-19,2016-05-27,1984-01-01,bio/D000001
1,D000002,Temefos,1999-01-01,2013-07-08,1991-01-01,bio/D000002
2,D000003,Abattoirs,1999-01-01,2016-06-08,1966-01-01,bio/D000003
3,D000004,Abbreviations as Topic,1999-01-01,2017-06-30,1960-01-01,bio/D000004
4,D000005,Abdomen,1999-01-01,2016-08-09,1966-01-01,bio/D000005
5,D000006,"Abdomen, Acute",1999-01-01,2017-06-20,1966-01-01,bio/D000006
6,D000007,Abdominal Injuries,1999-01-01,2010-06-25,1966-01-01,bio/D000007
7,D000008,Abdominal Neoplasms,1999-01-01,2015-11-24,1966-01-01,bio/D000008
8,D000009,Abdominal Muscles,1999-01-01,2016-05-31,1993-01-01,bio/D000009
9,D000010,Abducens Nerve,1999-01-01,2014-06-20,1966-01-01,bio/D000010
10,D000011,Abelson murine leukemia virus,1979-04-16,2020-08-13,1991-01-01,bio/D000011
11,D000012,Abetalipoproteinemia,1999-01-01,2013-07-08,1966-01-01,bio/D000012
12,D000013,Congenital Abnormalities,1999-01-01,2020-01-16,2008-01-01,bio/D000013
13,D000014,"Abnormalities, Drug-Induced",1999-01-01,2013-07-08,1964-01-01,bio/D000014
14,D000015,"Abnormalities, Multiple",1999-01-01,2015-12-01,1968-01-01,bio/D000015
15,D000016,"Abnormalities, Radiation-Induced",1978-03-20,2015-06-22,1979-01-01,bio/D000016
16,D000017,ABO Blood-Group System,1975-07-25,2005-06-30,1976-01-01,bio/D000017
17,D000018,Abomasum,1999-01-01,1995-05-18,1968-01-01,bio/D000018
18,D000019,Abortifacient Agents,1999-01-01,2014-06-25,1975-01-01,bio/D000019
19,D000020,"Abortifacient Agents, Nonsteroidal",1974-11-11,2014-06-25,1991-01-01,bio/D000020
20,D000021,"Abortifacient Agents, Steroidal",1974-11-11,2005-06-30,1991-01-01,bio/D000021
21,D000022,"Abortion, Spontaneous",1999-01-01,2018-06-21,1999-01-01,bio/D000022
22,D000023,Abortion Applicants,1974-11-19,2015-06-23,1976-01-01,bio/D000023
23,D000024,"Abortion, Criminal",1999-01-01,2015-06-23,1966-01-01,bio/D000024
24,D000025,"Abortion, Eugenic",1974-11-19,2015-06-23,1991-01-01,bio/D000025
25,D000026,"Abortion, Habitual",1999-01-01,2017-06-20,1966-01-01,bio/D000026
26,D000027,"Abortion, Incomplete",1974-11-11,2005-06-30,1975-09-01,bio/D000027
27,D000028,"Abortion, Induced",1999-01-01,2002-07-02,1971-01-01,bio/D000028
28,D000029,"Abortion, Legal",1999-01-01,2015-06-23,1964-01-01,bio/D000029
29,D000030,"Abortion, Missed",1999-01-01,2005-06-30,1966-01-01,bio/D000030
30,D000031,"Abortion, Septic",1999-01-01,2019-06-17,1966-01-01,bio/D000031
31,D000032,"Abortion, Therapeutic",1999-01-01,1997-06-20,1966-01-01,bio/D000032
32,D000033,"Abortion, Threatened",1999-01-01,2017-06-20,1966-01-01,bio/D000033
33,D000034,"Abortion, Veterinary",1999-01-01,2007-07-09,1966-01-01,bio/D000034
34,D000035,Abreaction,1999-01-01,1997-06-20,1968-01-01,bio/D000035
35,D000036,Abrin,1974-11-19,2007-07-09,1991-01-01,bio/D000036
36,D000037,Abruptio Placentae,1999-01-01,2005-06-30,1966-01-01,bio/D000037
37,D000038,Abscess,1999-01-01,2019-06-17,1966-01-01,bio/D000038
38,D000039,Peritonsillar Abscess,1999-01-01,2019-06-17,1989-01-01,bio/D000039
39,D000040,Abscisic Acid,1974-11-19,2019-07-02,1991-01-01,bio/D000040
40,D000041,Absenteeism,1999-01-01,1994-05-27,1963-01-01,bio/D000041
41,D000042,Absorption,1999-01-01,2016-05-02,1966-01-01,bio/D000042
42,D000043,Abstracting and Indexing,1999-01-01,2019-07-05,1960-01-01,bio/D000043
43,D000044,Dental Abutments,1999-01-01,2015-06-22,1970-01-01,bio/D000044
44,D000045,Acacia,1999-01-01,2020-08-13,1991-01-01,bio/D000045
45,D000046,Academic Medical Centers,1979-06-01,2019-05-24,1980-01-01,bio/D000046
46,D000047,Academies and Institutes,1999-01-01,1999-11-03,1970-01-01,bio/D000047
47,D000048,Acanthamoeba,1987-04-30,2020-08-13,1988-01-01,bio/D000048
48,D000049,Acanthocephala,1999-01-01,2020-08-13,1974-01-01,bio/D000049
49,D000050,Acanthocytes,1974-11-11,2003-07-09,1991-01-01,bio/D000050
50,D000051,Acantholysis,1999-01-01,2008-07-10,1991-01-01,bio/D000051
51,D000052,Acanthosis Nigricans,1999-01-01,2016-07-01,1966-01-01,bio/D000052
52,D000053,Acari,1999-01-01,2020-08-13,1975-01-01,bio/D000053
